CarName,Type,AWD,FWD,ManPr,RetPr,Eng,Cyl,HP,CMpG,HMpG,Weight,WhlB,Length,Width
Subaru_Legacy_L_4dr,0,1,0,20445,18713,2.5,4,165,21,28,3285,104,184,69
Suzuki_Verona_LX_4dr,0,0,0,17262,17053,2.5,6,155,20,27,3380,106,188,72
Toyota_Camry_LE_4dr,0,0,0,19560,17558,2.4,4,157,24,33,3086,107,189,71
Toyota_Camry_LE_V6_4dr,0,0,0,22775,20325,3.0,6,210,21,29,3296,107,189,71
Toyota_Camry_Solara_SE_2dr,0,0,0,19635,17722,2.4,4,157,24,33,3175,107,193,72
Toyota_Camry_Solara_SE_V6_2dr,0,0,0,21965,19819,3.3,6,225,20,29,3417,107,193,72
Toyota_Prius_4dr(gas/electric),0,0,0,20510,18926,1.5,4,110,59,51,2890,106,175,68
Volkswagen_Golf_GLS_4dr,0,0,0,18715,17478,2.0,4,115,24,31,2897,99,165,68
Volkswagen_GTI_1.8T_2dr_hatch,0,0,0,19825,18109,1.8,4,180,24,31,2934,99,168,68
Volkswagen_Jetta_GLS_TDI_4dr,0,0,0,21055,19638,1.9,4,100,38,46,3003,99,172,68
Volkswagen_New_Beetle_GLS_1.8T_2dr,0,0,0,21055,19638,1.8,4,150,24,31,2820,99,161,68
Acura_RSX_Type_S_2dr,0,0,0,23820,21761,2.0,4,200,24,31,2778,101,172,68
Acura_TSX_4dr,0,0,0,26990,24647,2.4,4,200,22,29,3230,105,183,69
Audi_A4_1.8T_4dr,0,0,0,25940,23508,1.8,4,170,22,31,3252,104,179,70
BMW_325i_4dr,0,0,1,28495,26155,2.5,6,184,20,29,3219,107,176,69
Buick_LeSabre_Custom_4dr,0,0,0,26470,24282,3.8,6,205,20,29,3567,112,200,74
Buick_Regal_LS_4dr,0,0,0,24895,22835,3.8,6,200,20,30,3461,109,196,73
Buick_Regal_GS_4dr,0,0,0,28345,26047,3.8,6,240,18,28,3536,109,196,73
Chevrolet_Impala_LS_4dr,0,0,0,25000,22931,3.8,6,200,20,30,3476,111,200,73
Chevrolet_Impala_SS_4dr,0,0,0,27995,25672,3.8,6,240,18,28,3606,111,200,73
Chevrolet_Malibu_LT_4dr,0,0,0,23495,21551,3.5,6,200,23,32,3315,106,188,70
Chevrolet_Monte_Carlo_SS_2dr,0,0,0,24225,22222,3.8,6,200,18,28,3434,111,198,73
Chrysler_300M_4dr,0,0,0,29865,27797,3.5,6,250,18,27,3581,113,198,74
Chrysler_Concorde_LX_4dr,0,0,0,24130,22452,2.7,6,200,21,29,3479,113,208,74
Chrysler_Concorde_LXi_4dr,0,0,0,26860,24909,3.5,6,232,19,27,3548,113,208,74
Chrvsler_PT_Cruiser_GT_4dr,0,0,0,25955,24172,2.4,4,220,21,27,3217,103,169,67
Chrysler_Sebring_convertible_2dr,0,0,0,25215,23451,2.4,4,150,22,30,3357,106,194,64
Dodge_Intrepid_ES_4dr,0,0,0,24885,23058,3.5,6,232,18,27,3487,113,204,75
Ford_Crown_Victoria_4dr,0,0,1,24345,22856,4.6,8,224,17,25,4057,115,212,78
Ford_Crown_Victoria_LX_4dr,0,0,1,27370,25105,4.6,8,224,17,25,4057,115,212,78
Honda_Accord_LX_V6_4dr,0,0,0,23760,21428,3.0,6,240,21,30,3349,108,190,72
Honda_Accord_EX_V6_2dr,0,0,0,26960,24304,3.0,6,240,21,30,3294,105,188,71
Hyundai_XG350_4dr,0,0,0,24589,22055,3.5,6,194,17,26,3651,108,192,72
Hyundai_XG350_L_4dr,0,0,0,26189,23486,3.5,6,194,17,26,3651,108,192,72
Infiniti_G35_4dr,0,0,1,28495,26157,3.5,6,260,18,26,3336,112,187,69
Infiniti_G35_Sport_Coupe_2dr,0,0,1,29795,27536,3.5,6,280,18,26,3416,112,182,72
Jaguar_X-Type_2.5_4dr,0,1,0,29995,27355,2.5,6,192,18,26,3428,107,184,70
Kia_Amanti_4dr,0,0,0,26000,23764,3.5,6,195,17,25,-1,110,196,73
Mercedes-Benz_C230_Sport_2dr,0,0,1,26060,24249,1.8,4,189,22,30,3250,107,178,68
Mercedes-Benz_C320_Sport_2dr,0,0,1,28370,26435,3.2,6,215,19,26,3430,107,178,68
Mercury_Grand_Marquis_GS_4dr,0,0,1,24695,23217,4.6,8,224,17,25,4052,115,212,78
Mercury_Grand_Marquis_LS_Premium_4dr,0,0,1,29595,27148,4.6,8,224,17,25,4052,115,212,78
Mercury_Sable_LS_Premium_4dr,0,0,0,23895,21918,3.0,6,201,19,26,3315,109,200,73
Mitsubishi_Diamante_LS_4dr,0,0,0,29282,27250,3.5,6,205,18,25,3549,107,194,70
Mitsubishi_Galant_GTS_4dr,0,0,0,25700,23883,3.8,6,230,18,26,3649,108,191,72
Nissan_Altima_SE_4dr,0,0,0,23290,21580,3.5,6,245,21,26,3197,110,192,70
Nissan_Maxima_SE_4dr,0,0,0,27490,25182,3.5,6,265,20,28,3473,111,194,72
Nissan_Maxima_SL_4dr,0,0,0,29440,26966,3.5,6,265,20,28,3476,111,194,72
Oldsmobile_Alero_GLS_2dr,0,0,0,23675,21485,3.4,6,170,20,29,3085,107,187,70
Pontiac_Grand_Prix_GT2_4dr,0,0,0,24295,22284,3.8,6,200,20,30,3484,111,198,74
Subaru_Legacy_GT_4dr,0,1,0,25645,23336,2.5,4,165,21,28,3395,104,184,69
Subaru_Outback_Limited_Sedan_4dr,0,1,0,27145,24687,2.5,4,165,20,27,3495,104,184,69
Subaru_Outback_H6_4dr,0,1,0,29345,26660,3.0,6,212,19,26,3610,104,184,69
Toyota_Avalon_XL_4dr,0,0,0,26560,23693,3.0,6,210,21,29,3417,107,192,72
Toyota_Camry_XLE_V6_4dr,0,0,0,25920,23125,3.0,6,210,21,29,3362,107,189,71
Toyota_Camry_Solara_SLE_V6_2dr,0,0,0,26510,23908,3.3,6,225,20,29,3439,107,193,72
Volkswagen_Jetta_GLI_VR6_4dr,0,0,0,23785,21686,2.8,6,200,21,30,3179,99,172,68
Volkswagen_New_Beetle_GLS_convertible_2dr,0,0,0,23215,21689,2.0,4,115,24,30,3082,99,161,68
Volkswagen_Passat_GLS_4dr,0,0,0,23955,21898,1.8,4,170,22,31,3241,106,185,69
Volvo_S40_4dr,0,0,0,25135,23701,1.9,4,170,22,29,2767,101,178,68
Acura_TL_4dr,0,0,0,33195,30299,3.2,6,270,20,28,3575,108,186,72
Audi_A41.8T_convertible_2dr,0,0,0,35940,32506,1.8,4,170,23,30,3638,105,180,70
Audi_A4_3.0_4dr,0,0,0,31840,28846,3.0,6,220,20,28,3462,104,179,70
Audi_A4_3.0_Quattro_4dr_manual,0,1,0,33430,30366,3.0,6,220,17,26,3583,104,179,70
Audi_A4_3.0_Quattro_4dr_auto,0,1,0,34480,31388,3.0,6,220,18,25,3627,104,179,70
Audi_A6_3.0_4dr,0,0,0,36640,33129,3.0,6,220,20,27,3561,109,192,71
Audi_A6_3.0_Quattro_4dr,0,1,0,39640,35992,3.0,6,220,18,25,3880,109,192,71
BMW_325Ci_2dr,0,0,1,30795,28245,2.5,6,184,20,29,3197,107,177,69
BMW_325Ci_convertible_2dr,0,0,1,37995,34800,2.5,6,184,19,27,3560,107,177,69
BMW_325xi_4dr,0,1,0,30245,27745,2.5,6,184,19,27,3461,107,176,69
BMW_330i_4dr,0,0,1,35495,32525,3.0,6,225,20,30,3285,107,176,69
BMW_330Ci_2dr,0,0,1,36995,33890,3.0,6,225,20,30,3285,107,176,69
BMW_330xi_4dr,0,1,0,37245,34115,3.0,6,225,20,29,3483,107,176,69
BMW_525i_4dr,0,0,1,39995,36620,2.5,6,184,19,28,3428,114,191,73
Buick_LeSabre_Limited_4dr,0,0,0,32245,29566,3.8,6,205,20,29,3591,112,200,74
Buick_Park_Avenue_4dr,0,0,0,35545,32244,3.8,6,205,20,29,3778,114,207,75
Cadillac_CTS_VVT_4dr,0,0,1,30835,28575,3.6,6,255,18,25,3694,113,190,71
Chrysler_300M_Special_Edition_4dr,0,0,0,33295,30884,3.5,6,255,18,27,3650,113,198,74
Chrysler_Sebring_Limited_convertible_2dr,0,0,0,30950,28613,2.7,6,200,21,28,3448,106,194,69
Ford_Crown_Victoria_LX_Sport_4dr,0,0,1,30315,27756,4.6,8,239,17,25,4057,115,212,78
Infiniti_G35_4dr,0,1,0,32445,29783,3.5,6,260,18,26,3677,112,187,69
Infiniti_I35_4dr,0,0,0,31145,28320,3.5,6,255,19,26,3306,108,194,70
Jaguar_X-Type_3.0_4dr,0,1,0,33995,30995,3.0,6,227,18,25,3516,107,184,70
Lexus_ES_330_4dr,0,0,0,32350,28755,3.3,6,225,20,29,3460,107,191,71
Lexus_IS_300_4dr_manual,0,0,1,31045,27404,3.0,6,215,18,25,3255,105,177,68
Lexus_IS_300_4dr_auto,0,0,1,32415,28611,3.0,6,215,18,24,3285,105,177,68
Lincoln_LS_V6_Luxury_4dr,0,0,1,32495,29969,3.0,6,232,20,26,3681,115,194,73
Lincoln_LS_V6_Premium_4dr,0,0,1,36895,33929,3.0,6,232,20,26,3681,115,194,73
Mercedes-Benz_C240_4dr,0,0,1,32280,30071,2.6,6,168,20,25,3360,107,178,68
Mercedes-Benz_C240_4dr,0,1,0,33480,31187,2.6,6,168,19,25,3360,107,178,68
Mercedes-Benz_C320_Sport_4dr,0,0,1,35920,33456,3.2,6,215,19,26,3430,107,178,68
Mercedes-Benz_C320_4dr,0,0,1,37630,35046,3.2,6,215,20,26,3450,107,178,68
Mercedes-Benz_C320_4dr,0,1,0,38830,36162,3.2,6,215,19,27,-1,107,178,68
Mercury_Grand_Marquis_LS_Ultimate_4dr,0,0,1,30895,28318,4.6,8,224,17,25,4052,115,212,78
Mercury_Marauder_4dr,0,0,1,34495,31558,4.6,8,302,17,23,4195,115,212,78
Pontiac_Bonneville_GXP_4dr,0,0,0,35995,32997,4.6,8,275,-1,-1,3790,112,203,74
Saab_9-3_Arc_Sport_4dr,0,0,0,30860,29269,2.0,4,210,20,28,3175,105,183,69
Saab_9-3_Aero_4dr,0,0,0,33360,31562,2.0,4,210,20,28,3175,105,183,69
Saab_9-5_Arc_4dr,0,0,0,35105,33011,2.3,4,220,21,29,3470,106,190,71
Saab_9-5_Aero_4dr,0,0,0,39465,37721,2.3,4,250,21,29,3470,106,190,71
Subaru_Outback_H-6_VDC_4dr,0,1,0,31545,28603,3.0,6,212,19,26,3630,104,184,69
Toyota_Avalon_XLS_4dr,0,0,0,30920,27271,3.0,6,210,21,29,3439,107,192,72
Volkswagen_Passat_GLX_V6_4MOTION_4dr,0,0,0,33180,30583,2.8,6,190,19,26,3721,106,185,69
Volkswagen_Passat_W8_4MOTION_4dr,0,0,0,39235,36052,4.0,8,270,18,25,3953,106,185,69
Volvo_S60_2.5_4dr,0,1,0,31745,29916,2.5,5,208,20,27,3903,107,180,71
Volvo_S60_T5_4dr,0,0,0,34845,32902,2.3,5,247,20,28,3766,107,180,71
Volvo_S60_R_4dr,0,1,0,37560,35382,2.5,5,300,18,25,3571,107,181,71
Volvo_S80_2.9_4dr,0,0,0,37730,35542,2.9,6,208,20,28,3576,110,190,72
Volvo_S80_2.5T_4dr,0,1,0,37885,35688,2.5,5,194,20,27,3691,110,190,72
Acura_3.5_RL_4dr,0,0,0,43755,39014,3.5,6,225,18,24,3880,115,197,72
Acura_3.5_RL_w/Navigation_4dr,0,0,0,46100,41100,3.5,6,225,18,24,3893,115,197,72
Audi_A4_3.0_convertible_2dr,0,0,0,42490,38325,3.0,6,220,20,27,3814,105,180,70
Audi_A4_3.0_Quattro_convertible_2dr,0,1,0,44240,40075,3.0,6,220,18,25,4013,105,180,70
Audi_A6_2.7_Turbo_Quattro_4dr,0,1,0,42840,38840,2.7,6,250,18,25,3836,109,192,71
Audi_A6_4.2_Quattro_4dr,0,1,0,49690,44936,4.2,8,300,17,24,4024,109,193,71
Audi_A8_L_Quattro_4dr,0,1,0,69190,64740,4.2,8,330,17,24,4399,121,204,75
Audi_S4_Quattro_4dr,0,1,0,48040,43556,4.2,8,340,14,20,3825,104,179,70
BMW_330Ci_convertible_2dr,0,0,1,44295,40530,3.0,6,225,19,28,3616,107,177,69
BMW_530i_4dr,0,0,1,44995,41170,3.0,6,225,20,30,3472,114,191,73
BMW_545iA_4dr,0,0,1,54995,50270,4.4,8,325,18,26,3814,114,191,73
BMW_745i_4dr,0,0,1,69195,63190,4.4,8,325,18,26,4376,118,198,75
BMW_745Li_4dr,0,0,1,73195,66830,4.4,8,325,18,26,4464,123,204,75
Buick_Park_Avenue_Ultra_4dr,0,0,0,40720,36927,3.8,6,240,18,28,3909,114,207,75
Cadillac_Deville_4dr,0,0,0,45445,41650,4.6,8,275,18,26,3984,115,207,74
Cadillac_Deville_DTS_4dr,0,0,0,50595,46362,4.6,8,300,18,26,4044,115,207,74
Cadillac_Seville_SLS_4dr,0,0,0,47955,43841,4.6,8,275,18,26,3992,112,201,75
Infiniti_M45_4dr,0,0,1,42845,38792,4.5,8,340,17,23,3851,110,197,70
Infiniti_Q45_Luxury_4dr,0,0,1,52545,47575,4.5,8,340,17,23,3977,113,200,73
Jaguar_S-Type_3.0_4dr,0,0,1,43895,40004,3.0,6,235,18,26,3777,115,192,72
Jaguar_S-Type_4.2_4dr,0,0,1,49995,45556,4.2,8,294,18,28,3874,115,192,72
Jaguar_S-Type_R_4dr,0,0,1,63120,57499,4.2,8,390,17,24,4046,115,192,72
Jaguar_Vanden_Plas_4dr,0,0,1,68995,62846,4.2,8,294,18,28,3803,119,200,73
Jaguar_XJ8_4dr,0,0,1,59995,54656,4.2,8,294,18,28,3803,119,200,73
Jaguar_XJR_4dr,0,0,1,74995,68306,4.2,8,390,17,24,3948,119,200,73
Lexus_GS_300_4dr,0,0,1,41010,36196,3.0,6,220,18,25,3649,110,189,71
Lexus_GS_430_4dr,0,0,1,48450,42232,4.3,8,300,18,23,3715,110,189,71
Lexus_LS_430_4dr,0,0,1,55750,48583,4.3,8,290,18,25,3990,115,197,72
Lincoln_LS_V8_Sport_4dr,0,0,1,40095,36809,3.9,8,280,17,24,3768,115,194,73
Lincoln_LS_V8_Ultimate_4dr,0,0,1,43495,39869,3.9,8,280,17,24,3768,115,194,73
Lincoln_Town_Car_Signature_4dr,0,0,1,41815,38418,4.6,8,239,17,25,4369,118,215,78
Lincoln_Town_Car_Ultimate_4dr,0,0,1,44925,41217,4.6,8,239,17,25,4369,118,215,78
Lincoln_Town_Car_Ultimate_L_4dr,0,0,1,50470,46208,4.6,8,239,17,25,4474,124,221,78
Mercedes-Benz_C32_AMG_4dr,0,0,1,52120,48522,3.2,6,349,16,21,3540,107,178,68
Mercedes-Benz_CL500_2dr,0,0,1,94820,88324,5.0,8,302,16,24,4085,114,196,73
Mercedes-Benz_CL600_2dr,0,0,1,128420,119600,5.5,12,493,13,19,4473,114,196,73
Mercedes-Benz_CLK320_coupe_2dr(convertible),0,0,1,45707,41966,3.2,6,215,20,26,3770,107,183,69
Mercedes-Benz_CLK500_coupe_2dr(convertible),0,0,1,52800,49104,5.0,8,302,17,22,3585,107,183,69
Mercedes-Benz_E320_4dr,0,0,1,48170,44849,3.2,6,221,19,27,3635,112,190,71
Mercedes-Benz_E500_4dr,0,0,1,57270,53382,5.0,8,302,16,20,3815,112,190,71
Mercedes-Benz_S430_4dr,0,0,1,74320,69168,4.3,8,275,18,26,4160,122,203,73
Mercedes-Benz_S500_4dr,0,1,0,86970,80939,5.0,8,302,16,24,4390,122,203,73
Saab_9-3_Arc_convertible_2dr,0,0,0,40670,38520,2.0,4,210,21,29,3480,105,182,69
Saab_9-3_Aero_convertible_2dr,0,0,0,43175,40883,2.0,4,210,21,30,3700,105,182,69
Volkswagen_Phaeton_4dr,0,0,0,65000,59912,4.2,8,335,-1,-1,5194,118,204,75
Volkswagen_Phaeton_W12_4dr,0,0,0,75000,69130,6.0,12,420,-1,-1,5399,118,204,75
Volvo_C70_LPT_convertible_2dr,0,0,0,40565,38203,2.4,5,197,21,28,3450,105,186,72
Volvo_C70_HPT_convertible_2dr,0,0,0,42565,40083,2.3,5,242,20,26,3450,105,186,72
Volvo_S80_T6_4dr,0,0,0,45210,42573,2.9,6,268,19,26,3653,110,190,72
Acura_NSX_coupe_2dr_manual_S,1,0,1,89765,79978,3.2,6,290,17,24,3153,100,174,71
Audi_RS_6_4dr,1,0,0,84600,76417,4.2,8,450,15,22,4024,109,191,78
Audi_TT_1.8_convertible_2dr(coupe),1,0,0,35940,32512,1.8,4,180,20,28,3131,95,159,73
Audi_TT_1.8_Quattro_2dr(convertible),1,1,0,37390,33891,1.8,4,225,20,28,2921,96,159,73
Audi_TT_3.2_coupe_2dr(convertible),1,1,0,40590,36739,3.2,6,250,21,29,3351,96,159,73
BMW_M3_coupe_2dr,1,0,1,48195,44170,3.2,6,333,16,24,3415,108,177,70
BMW_M3_convertible_2dr,1,0,1,56595,51815,3.2,6,333,16,23,3781,108,177,70
BMW_Z4_convertible_2.5i_2dr,1,0,1,33895,31065,2.5,6,184,20,28,2932,98,161,70
BMW_Z4_convertible_3.0i_2dr,1,0,1,41045,37575,3.0,6,225,21,29,2998,98,161,70
Cadillac_XLR_convertible_2dr,1,0,1,76200,70546,4.6,8,320,17,25,3647,106,178,72
Chevrolet_Corvette_2dr,1,0,1,44535,39068,5.7,8,350,18,25,3246,105,180,74
Chevrolet_Corvette_convertible_2dr,1,0,1,51535,45193,5.7,8,350,18,25,3248,105,180,74
Chrysler_Crossfire_2dr,1,0,1,34495,32033,3.2,6,215,17,25,3060,95,160,70
Dodge_Viper_SRT-10_convertible_2dr,1,0,1,81795,74451,8.3,10,500,-1,-1,3410,99,176,75
Ford_Mustang_2dr(convertible),1,0,1,18345,16943,3.8,6,193,20,29,3290,101,183,73
Ford_Mustang_GT_Premium_convertible_2dr,1,0,1,29380,26875,4.6,8,260,17,25,3347,101,183,73
Ford_Thunderbird_Deluxe_convert_w/hardtop_2dr,1,0,0,37530,34483,3.9,8,280,17,24,3780,107,186,72
Honda_S2000_convertible_2dr,1,0,1,33260,29965,2.2,4,240,20,25,2835,95,162,69
Hyundai_Tiburon_GT_V6_2dr,1,0,0,18739,17101,2.7,6,172,19,26,3023,100,173,69
Jaguar_XK8_coupe_2dr,1,0,1,69995,63756,4.2,8,294,18,26,3779,102,187,71
Jaguar_XK8_convertible_2dr,1,0,1,74995,68306,4.2,8,294,18,26,3980,102,187,71
Jaguar_XKR_coupe_2dr,1,0,1,81995,74676,4.2,8,390,16,23,3865,102,187,71
Jaguar_XKR_convertible_2dr,1,0,1,86995,79226,4.2,8,390,16,23,4042,102,187,71
Lexus_SC_430_convertible_2dr,1,0,1,63200,55063,4.3,8,300,18,23,3840,103,178,72
Mazda_MX-5_Miata_convertible_2dr,1,0,1,22388,20701,1.8,4,142,23,28,2387,89,156,66
Mazda_MX-5_Miata_LS_convertible_2dr,1,0,1,25193,23285,1.8,4,142,23,28,2387,89,156,66
