norm,unif,tri,skew
3.82,2.59,0.33,1.93
8.36,3.66,0.83,1.2
3.29,2.5,0.79,0.56
3.33,3.27,0.91,3.68
5.47,2.49,0.47,5.67
6.41,2.94,0.67,4.53
8.23,2.51,0.4,3.57
4.83,3.9,1.07,2.88
7.56,3.5,0.63,6.8
6.66,3.34,0.76,3.62
6.44,2.4,0.84,3.15
3.37,2.4,1.4,0.39
4.3,3.01,0.9,4.45
9.19,3.48,0.15,1.26
6.37,3.49,1.6,3.92
4.95,2.49,0.6,2.06
6.34,3.7,1.28,3.19
8.24,3.52,1.66,3.6
6.34,2.92,1.51,3.84
2.03,3.15,1.87,2.67
5.76,3.85,0.3,4.14
5.28,2.58,0.25,4.46
3.01,3.08,1.29,4.15
7.39,2.78,0.76,5.62
4.92,3.33,0.45,2.02
6.39,2.16,0.84,2.38
7.6,3.17,0.36,1.7
6.12,2.99,1.42,1.43
5.18,3.23,0.8,6.52
-0.3,3.59,1.07,2.91
3.51,3.74,1.12,4.76
5.89,3.68,1.37,3.89
5.42,2.08,1.48,5.7
3.74,2.35,1.22,1.21
4.07,3.79,1.25,1.86
5.68,3.61,1.64,3.27
7.75,2.07,1.77,3.7
4.47,2.01,0.9,2.91
3.49,3.9,1.05,1.49
0.72,2.64,1.17,5.07
6.08,2.41,0.81,2.84
7.65,3.78,0.96,3.38
5.1,3.97,0.31,2.21
5.57,2.52,1.2,3.64
2.56,3.04,0.22,1.53
2.78,2.53,1.18,2.35
2.63,3.48,0.46,1.18
12.01,2.73,1.08,2.76
2.08,3.68,1.85,2.52
4.25,2.16,0.88,5.9
6.88,3.3,1.28,6.77
1.97,2.56,0.96,7.46
5.57,3.93,0.84,2.9
5.27,3.25,1.27,1.89
4.44,3.6,1.12,7.55
8.21,2.47,0.87,4.38
3.45,3.19,1.43,4.09
4.05,3.24,1.25,5.26
5.15,2.76,1.53,0.47
9.6,2.65,0.87,1.36
6.44,3.98,1.15,2.67
1.65,2.99,0.26,2.04
8.84,3.59,0.8,6.59
7.52,2.29,0.75,4.32
6.71,3.21,0.47,2.12
5.42,2.27,1.62,5.16
5.8,3.1,0.2,3.06
6.52,3.67,1.48,4.2
6.09,2.73,0.63,4.71
6.04,2.55,1.11,4.6
5.44,2.6,0.7,2.81
6.42,3.99,1.17,2.59
4.6,3.38,0.93,2.85
5.51,2.32,1.11,6.45
3.3,3.03,1.27,1.16
7.75,3.97,0.74,2.28
4.16,2.37,1.22,2.37
8.59,3.22,0.7,1.48
4.51,2.48,1.65,4.5
4.19,3.63,0.84,3.46
6.5,3.36,0.97,7.3
2.74,2.79,1.74,4.42
4.66,3.59,0.6,8.86
6.28,2.65,1.5,1.79
4.28,3.63,1.41,2.81
4.07,3.94,0.93,1.24
3.71,3.78,1.58,2.05
4.13,2.63,0.75,2.55
2.13,3.19,1.55,5.57
5.58,2.02,0.76,5.96
5.08,3.94,1.35,5.21
5.96,2.93,1.01,4.23
3.41,2.5,1.05,2.93
5.5,3.01,1.05,2.02
3.98,2.9,1.59,1.17
8.92,3.21,1.11,3.69
4.2,3.96,0.91,2.61
4.7,2.1,0.98,0.64
3.95,3.28,0.76,3.03
4.69,3.43,1.27,0.56
4.12,3.85,0.61,5.81
5.08,2.7,0.89,4.13
4.39,3.67,1.52,1.32
5.09,2.9,1.43,2.27
3.47,3.29,0.94,4.98
4.82,2.19,0.98,4.08
6.61,2.42,1.27,2.01
5.69,3.33,1.05,3.69
3.89,3.94,0.51,3.3
5.2,2.39,0.67,2.28
9.86,3.87,1.55,3.59
5.68,3.45,0.78,1.8
5.4,2.85,1.24,4.96
5.66,2.33,0.39,2.34
4.43,2.13,0.92,5.58
1.83,2.71,0.95,7.91
6.31,2.82,1.33,3.82
2.57,3.25,0.22,1.26
-0.02,3.3,0.66,3.03
2.28,2.86,1.09,5.37
2.55,2.1,1.24,0.85
3.79,3.93,1.34,4.53
2.04,2.88,1.21,3.68
3.21,2.76,0.11,6.75
5.87,3.54,1.11,1.51
4.95,3.54,0.68,2.17
5.41,3.98,1.6,2.51
5.98,2.06,1.33,3.85
4.26,3.05,1.02,4.76
9.78,2.23,1.19,8.14
1.52,3.06,0.56,2.85
2.62,2.25,0.73,2.32
5.76,3.8,1.09,5.71
6.27,2.35,1.51,4.53
7.27,3.19,1.06,3.98
5.19,2.84,0.77,1.42
5.52,3.54,1.47,0.06
4.52,3.64,0.54,3.08
6.18,2.83,0.18,3.35
7.56,2.93,0.84,2.55
7.95,2.92,0.81,5.67
0.47,2.04,0.76,2.04
3.7,3.02,1.12,3.15
5.84,2.82,0.99,3.85
7.19,3.01,1.09,6.78
4.27,2.1,0.81,3.94
2.09,3.95,1.06,4.56
7.04,2.6,0.93,5.33
5.85,3.24,0.43,3.62
8.11,3.03,1.03,6.19
5.9,2.28,0.93,2.83
4.2,3.87,1.15,5.25
6.05,2.03,1.92,1.02
5.93,3.39,1.22,2.24
5.46,2.01,0.95,2.75
4.74,3.34,1.48,2.35
1.01,3.79,0.92,1.35
3.81,2.94,1.2,1.82
2.92,2.52,1.17,4.34
6.17,3.55,0.54,4.68
2.8,2.33,1.64,4.71
4.78,2.34,0.59,2.8
5.73,3.64,0.76,1.44
5.92,2.78,1.02,4.18
6.11,3.47,0.68,1.97
4.52,3.94,1.37,3.71
5.83,3.53,0.94,5.26
5.05,2.77,0.51,1.91
6.57,3.49,1.07,0.14
6.62,3.07,1.38,10.35
7.48,2.3,1.4,3.38
3.23,2.41,1.21,4.7
3.18,2.33,0.72,0.18
3.75,3.89,1.35,0.84
4.73,3.32,1.08,1.32
7.29,2.87,1.13,0.18
2.58,2.18,1.1,1.86
-1.4,3.24,1.1,2.22
4.05,3.2,1.2,1.62
3.42,2.15,1.52,4.2
5.98,2.53,0.53,6.52
4.41,3.78,1.03,3.42
5.98,2.97,1.11,1.24
2.99,3.35,1.05,3.98
1.04,3.32,1.55,1.07
6.05,3.38,1.49,3.15
7.38,3.46,0.96,3.18
5.57,4,1.4,2.23
4.66,3.32,0.9,3.79
5.28,2.49,0.88,1.2
4.28,2.49,0.61,4.19
3.88,3.34,0.52,1.69
3.8,3.51,1.18,5.17
6.3,3.87,1,4.04
7.63,3.17,0.93,4.26
7.66,2.38,1.74,1.89
5.74,2.42,1.38,2.29
5.49,2.09,1.28,2.39
4.07,2.74,1.63,1.13
4.02,2.33,1.25,3.06
1.85,3.58,0.91,1.89
5.33,2.2,0.75,3.37
4.61,2.48,0.48,3.71
5.16,3.18,0.89,5.49
4.96,3.66,0.94,5.36
7.88,2.29,0.56,3.49
3.26,2.01,1.08,1.74
6.75,3.53,0.85,4.13
4.04,3.76,0.65,3.14
6.62,2.19,1.56,4.92
4.75,2.12,0.23,2.61
5.24,2.72,0.99,4.6
5.61,2.27,0.92,4.13
3.88,2.06,0.51,2.22
7.52,3.09,1.16,2.36
7.66,3.01,0.26,3.81
3.02,3.32,0.87,2.88
3.2,2.88,0.51,5.73
8.01,3.62,0.85,2.98
7.51,2.65,1.1,6.52
5.7,3.37,0.57,1.37
6.17,3.63,1.09,3.34
5,2.46,0.4,5.39
6.2,3.61,0.52,3
6.75,2.32,0.8,3.07
8.05,3.54,0.88,3.7
4.21,2.81,0.79,2.96
5.32,2.07,1.1,3.18
6.67,3.67,0.44,2.4
6.18,3.31,0.77,2.15
5.62,3.46,1.18,1.14
1.47,3.16,1.02,2.22
3.08,3.9,0.47,4.84
3.9,2.6,0.94,4.67
7.19,3.29,1.45,2.38
5.59,2.93,1.25,3.38
3.34,3.1,1.21,4.48
5.32,3.52,1.4,3.27
2.86,3.63,1.22,3.16
6.84,2.92,0.82,2.92
3.37,2.5,1.25,1.49
4.53,3.17,1.38,1.61
6.37,2.53,0.81,3.22
4.71,2.02,1.76,2.09
4.95,3.81,1.33,4.55
7.54,2.71,1.14,5.52
7.78,2.21,1.67,2.64
4.96,2.24,0.37,1.67
6.44,3.68,0.75,0.62
6.77,2.85,1.78,7.89
6.04,3.45,1.6,3.18
6.69,3.59,1.73,2.23
3.66,3.08,1.59,0.85
4.01,3.45,1.31,3.74
6.38,3.64,0.73,1.22
6.87,3.69,1.44,3.88
4.67,2.23,0.58,3.85
4.39,2.89,1.59,1.04
4.69,3.88,1.15,5.18
1.93,3.84,1.18,3.77
-2.47,3.96,1.87,0.16
2.48,3.65,1.01,0.18
2.27,2.59,0.63,3.33
3.96,3.77,1.76,2.98
3.99,2.81,0.41,3.27
1.64,3.35,1.65,6.42
5.58,3.08,1.18,3.82
3.76,2.36,1.27,4.8
6.2,3.71,0.91,7.01
1.92,2.72,1.52,2.1
5.84,3.57,1.21,4.13
7.62,3.32,1.93,1.54
1.15,2.8,0.59,1.03
4.54,2.36,1.13,0.43
1.02,3.18,0.4,5.91
6.91,2.94,1.32,3.13
6.58,3.02,1.23,2.43
3.14,3.34,0.09,3.21
1.63,2.94,0.31,2.88
5.33,3.41,1.56,5.82
3.22,2.55,0.72,0.41
5.19,2.25,0.25,5.53
2.53,3.66,0.66,6.8
7.81,2.14,0.15,4.15
6.13,3.91,0.71,6.4
4.37,2.12,1.25,7.88
2.84,3.56,0.55,3.07
5.71,2.27,0.82,5.39
2.42,2.5,1.73,5.38
3.88,2.99,0.83,2.29
6.45,2.61,1.03,3.12
5.96,2.71,0.68,2.76
5.04,3.54,0.7,2.91
4.23,3.21,1.19,1.95
2.17,3.15,0.77,1.36
3.24,2.79,0.32,4.66
8.3,2.12,0.53,6.07
4.13,2.53,0.93,4.43
1.16,2.68,0.59,0.06
4.68,2.02,0.86,3.83
6.64,3.59,0.49,2.4
7.35,2.07,1.26,1.1
3.61,3.59,1.77,5.88
5.02,3.87,1.03,1.36
4.9,3.57,1.34,5.3
4.91,2.84,1.27,4.26
4.05,2.66,1.04,5.34
5.81,2.03,1.15,0.69
4.57,2.01,1.17,3.58
4.75,3.96,1.15,1.69
4.47,2.63,0.41,4.51
5.47,2.01,1.12,2.55
4.7,2.24,1.23,3.78
1.55,3.22,0.95,1.74
1.32,3.07,0.54,2.86
7.42,2.8,1.05,2.28
4.61,3.07,1.45,2.8
3.42,2.88,1.19,6.32
3.99,2.38,0.62,3.46
6.92,3.6,0.64,3.52
7.87,3.29,1.17,1.03
2.55,3.05,1.52,3.65
6.68,2.57,1.3,8.86
3.72,2.87,0.53,6.25
6.27,2.34,0.24,5.14
6.44,3.88,0.32,5.28
2.4,3.03,0.91,0.7
2.48,3.97,1.19,3.28
4.88,2.54,0.56,3.51
7.73,3.68,1.6,2.3
8.31,2.02,0.13,5.13
3.79,3.03,0.3,3.05
4.54,3.78,1.41,3.68
5.22,3.94,0.93,3.7
4.83,2.97,1.21,1.05
2.77,2.12,1.94,1.38
6.81,3.98,1.86,2.19
3.52,2.12,0.73,4.82
4.97,3.65,0.98,4.91
6.1,2.11,0.34,3.36
4.77,2.97,0.8,5.29
1.66,3.7,1.44,7.59
6.68,3.95,1.25,0.51
8.73,4,0.99,4.82
4.43,2.5,1.01,2.01
6.05,2.25,0.94,5.98
8.76,2.75,1.05,3.87
7.61,2.19,1.14,2.61
5.87,4,0.84,2
6.57,3.19,0.72,0.91
5.71,2.01,1.42,3.61
3.14,2.9,0.97,2.91
3.84,2.9,1.15,2.55
5.15,3.38,0.57,2.96
5.84,2.5,0.26,0.75
3.28,2.08,1.06,1.75
6.5,3.83,0.77,0.95
3.13,3.7,0.21,3.6
5.1,3.66,1.5,3.37
5.32,3.8,0.88,1.09
5.27,3.53,1.5,3.53
5.09,3.02,1.32,2.01
4.7,2.61,1.07,1.58
4.89,3.71,1.41,3.47
10.78,3.77,0.9,2.2
6.42,3.64,1.03,5.18
5.48,3.3,0.64,2.13
2.68,2.49,0.08,1.66
1.71,2.76,1.6,5.73
4.61,2.58,0.38,1.55
5.79,2.29,0.42,1.93
7.41,3.69,0.93,6.76
4.93,2.24,0.73,2.07
6.73,3.84,0.89,1.96
1.75,2.61,0.95,4.22
7.49,3.87,1.6,2.47
5.31,2.98,0.74,4.74
2.2,2.95,1.21,3.81
4.63,3.4,0.76,2.66
6.91,3.62,0.61,0.24
5.78,2.07,0.42,4.6
5.17,2.97,0.51,2.69
6.96,2.01,1.52,2.78
0.61,3.06,1.11,5.88
3.72,2.79,1.06,3.85
7.22,2.9,1.09,5.23
7.43,3.09,1.32,3.62
6.5,2.88,0.34,1.41
1.42,3.31,0.7,5.98
1.91,2.29,0.94,2.68
5.21,3.89,1.26,2.62
3.13,3.37,1.49,2.86
5.8,3.61,1.19,4.79
3.74,2.03,1.04,5.16
1.01,3.8,1.39,1.69
5.49,2.6,0.88,2.01
2.55,3.93,1.64,6.97
3.53,2.69,0.89,3.03
7.04,2.14,1.05,1.81
7.27,2.95,0.68,5.91
4.91,3.98,1.02,5.36
6.79,3.16,0.88,5.14
3.18,2.45,1,1.46
3.46,2.17,1.13,2.49
3.04,3.52,0.45,3.08
6.04,2.35,0.66,5.9
5.37,2.43,0.73,3.11
2.72,3.33,1.17,3.92
5.03,2.35,1.59,4.13
1.49,3.4,1.34,6.37
3.02,3.14,0.28,3.1
3.87,3.03,0.78,3.46
8.84,2.48,1.41,3.88
3.19,2.27,0.33,1.81
5.52,3.78,0.94,3.86
4.31,2.93,1.04,2.83
8.73,2.13,0.68,2.82
2.17,3.78,1.04,3.71
5.74,3.35,1.09,4.69
8.77,2.06,1.28,4.09
1.5,3.68,0.84,1.65
8.44,2.99,0.31,4.52
6.26,3.27,1.29,0.77
8.3,2.18,1.48,5.68
6.02,3.11,1.03,3.23
3.15,3.88,1.01,4.41
4.81,3.64,1.37,3.35
2.26,2.05,0.9,4.76
6.63,2.47,1.13,5.08
3.43,2.54,0.91,1.68
7.44,3.87,1.17,6.66
4.7,2.42,0.81,3.11
2.16,2.9,1.06,2.58
7.29,3.86,1.22,5.05
5.74,2.31,0.86,4.87
8.02,2.49,0.83,2.95
7.36,2.22,0.89,2.97
3.36,3.18,1,2
4.44,3.73,0.85,2.8
5.43,3.66,0.96,8.13
7.66,2.65,1.53,1.67
5.25,3.52,1.32,6.83
6.65,3.25,1.25,4.05
5.66,3.93,0.09,3.83
0.6,2.37,1.26,3.61
7.31,3.37,1.39,0.57
5.1,2.64,0.61,5.21
2.96,3.26,0.34,4.51
5.73,3.38,1.15,4.34
5.98,2.97,1.13,1.87
5.39,2.7,1.4,3.05
2.7,2.92,1.41,3.4
9.32,3.32,0.89,3.17
5.34,2.12,0.6,1.47
7.13,3.48,1.16,3.11
2.84,3.84,0.92,2.84
4.57,3.38,0.83,1.43
4.39,2.52,1.48,1.02
4.89,3.95,0.55,1.59
8.66,2.15,1.24,4.18
1.56,3.02,1.01,3.51
5.18,2.47,1.59,1.96
6.63,2.54,0.69,2.97
3.95,2.82,1.4,5.94
3.01,2.49,1.08,4.27
6.52,3.83,1.02,2.52
4.9,3.87,0.19,3.64
5.79,3.63,1.18,3.84
4.9,3.52,0.6,2.85
2.56,3.66,0.63,3.77
4.26,2.73,1.1,0.5
7.28,3.35,0.81,6.75
1.84,3.32,1.02,3.34
4.62,3.24,0.57,2.41
5.75,2.53,0.71,4.25
10.24,3.19,1.35,3.2
3.36,3.73,1.11,2.32
5.14,3.93,1.68,6.29
5.36,2.75,0.88,2.59
4.38,2.08,0.92,3.71
4.67,3.65,1.73,1.82
3.17,3.36,1.38,6.79
5.81,3.66,0.48,5.35
5.87,3.76,0.73,3.66
3.64,2.14,1.5,3.74
7.73,2.91,1.31,2.39
6.07,2.3,1.16,5.39
1.74,3.88,1.16,4.4
2.05,2.88,1.35,0.28
6.52,2.02,0.38,3.38
3.08,3.53,1.37,4.49
6.6,2.4,0.04,2.58
2.55,3.26,1.89,1.9
5.82,2.74,0.72,3.29
5.81,3.08,0.94,1.92
6.02,3.87,1.23,10.15
4.29,3.33,0.98,1.96
2.55,3.84,0.98,4.43
4.35,3.52,0.16,1.43
6.02,3.69,1.5,5.43
6.43,2.38,0.32,3.07
5.51,2.78,0.42,3.62
5.53,2.92,1.89,3.86
4.27,3.15,0.51,4.76
7.05,3.99,0.69,4.08
3.54,4,1.04,2.48
3.11,3.74,1.33,3.43
4.14,3.05,0.79,2.96
6.44,2.69,0.38,3.29
8.69,3.6,0.72,1.61
6.93,3.53,0.75,2.13
2.75,2.27,1.04,2.13
7.19,3.85,1.16,3.29
4.73,3.17,0.75,4.65
4.06,2.1,0.38,2.73
3.96,2.92,0.96,1.63
1.4,3.72,0.98,2.49
3.81,2.15,1.78,7.46
5.59,3.97,0.42,5.54
5.87,3.82,0.46,4.7
4.53,2.62,0.49,3.02
2.88,3.8,0.22,3.57
3.16,2.25,0.79,2.34
1.53,2.38,1.01,2.72
9.34,2.63,0.22,1.54
4.77,2.6,1.03,3.82
5.26,3.03,0.63,4.38
4.73,2.95,1.31,4.39
6.08,3.58,0.27,3.76
4.8,3.58,1.24,3.73
5.76,2.31,1.86,1.33
7.07,2.46,0.34,2.4
5.18,3.96,0.63,1.48
6.42,3.68,0.74,2.88
6.42,3.64,1.37,6.6
4.44,2.29,1.46,7.47
2.2,3.08,0.68,1.03
8.92,3.44,1.18,1.86
4.1,3.35,0.53,2.51
3.18,2.57,1.13,3.19
5.91,3.13,0.15,2.41
5.97,3,0.16,5.63
3.75,2.72,0.72,3.25
7.19,2.57,1.43,2
6.26,2.84,0.71,3.47
6.65,3.44,0.56,3.8
3.4,2.27,1.31,4.73
4.36,3.34,1.44,3.44
4.11,2.44,1.61,4.83
8.22,3.96,0.71,1.53
4.12,2.72,0.47,0.83
5.48,3.55,1.17,3.47
2.25,3.78,1.1,4.54
3.92,3.77,1.29,4.63
2.64,2.55,1.36,2.84
3.98,2.85,0.97,7.16
6.29,3.39,0.96,2.24
6.8,2.91,0.59,2.47
9.94,2.58,1.05,0.91
4.31,2.35,0.76,4.64
-1,2.58,0.79,5.06
4.31,3.91,0.74,3.69
3.54,3.8,1.18,3.45
4.57,2.54,1.37,1.3
10.81,3.61,1.56,2.3
4.54,2.57,1.22,2.08
6.98,2.54,0.9,2.58
3.96,2.07,0.57,2.87
2.59,3.01,1.36,2.51
4.73,3.54,0.93,2.07
4.35,2.34,0.99,3.07
4.51,2.37,0.8,0.69
5.09,3.64,1.16,0.56
6.63,3.71,1.18,5.45
4.52,2.96,0.48,0.91
8.64,3.05,0.89,2.88
3.63,3.28,1.09,4.86
6.46,3.35,0.33,1.47
4.68,2.87,1.5,5.18
4.03,2.85,1.22,2.27
2.37,3.21,1.11,5.19
2.58,3.83,0.52,4.14
7.34,2.35,0.63,3.77
1.02,2.46,0.5,3.37
4.65,3.19,0.58,1.67
5.49,2.96,1.31,1.22
3.6,3.19,1.09,0.46
7.05,3.67,0.62,4.75
5.56,2.55,1.5,3.2
5.12,2.91,0.41,3.25
7.2,3.2,1.68,3.17
5.14,2.46,0.57,1.23
3.52,3.94,1.47,3.29
6.51,3.43,0.55,4.09
5.63,2.83,0.97,3.19
9.68,2.22,0.65,3.62
4.97,3.43,1.77,1.57
4.52,3.58,0.91,1.5
5.32,2.37,0.99,2.41
4.75,3.48,1.79,1.66
4.04,2.63,0.52,2.99
2.01,2.71,0.77,8.17
5.78,3.51,0.83,1.07
6.66,3.22,0.42,0.86
5.74,3.67,0.26,2.44
5.35,2.5,0.87,0.8
3.68,3.51,1.37,2.56
5.89,2.66,0.97,3.58
4.18,2.39,1.52,1.78
5.08,2.63,1.41,1.73
6.46,3.65,0.44,0.78
5.94,2.63,0.67,2.92
3.76,2.17,0.74,4.6
2.81,3.94,0.87,4.65
1.79,3.9,0.77,1.68
4.12,2.02,1.37,1.46
3.82,3.95,0.39,5.98
4.37,2.93,0.72,3.12
7.76,2.49,1.08,2.95
3.51,2.05,0.54,2.81
5.1,3.53,0.14,3.02
0.08,2.87,0.98,6.57
3.39,3.2,1.41,4.6
5.51,3.14,1.63,3.97
7.01,3.08,1.21,6.19
3.42,2.8,1.16,5.85
0.87,2.42,0.08,1.03
5.51,2.3,0.87,2.43
9.35,2.81,0.47,2.9
5.35,2.05,1.2,0.84
12.46,2.38,1.59,2.31
6.5,3.43,1.06,3.74
5.01,3.29,0.25,3.84
4.48,2.14,0.73,4.05
2.55,2.3,0.28,1.92
8.43,2.79,0.91,4.96
3.99,2.6,0.47,4.76
4.75,2.08,0.85,2.87
1.84,2.32,0.34,8.29
5,2.88,1.57,3.65
4.98,2.45,0.58,2.69
4.49,3.2,1.04,2.02
6.28,3.22,1.75,2.54
3.72,2.46,1.47,4.3
5.4,3.08,1.23,4.68
10.93,3.54,0.89,2.08
2.54,3.08,0.79,5.61
4.34,3.57,0.55,0.89
7.59,2.52,0.86,3.5
6.25,3.99,1.47,4.66
3.56,3.05,0.46,5.24
4.19,2.75,0.51,2.43
5.64,3.98,0.97,0.46
5.64,2.42,0.87,4.12
3.98,2.03,0.96,2.24
6.1,2.24,1.04,3.9
2.61,3.66,0.93,0.01
5.34,3.58,1.62,1.53
5.84,3.45,1.02,3.85
6.25,2.7,1.67,2.72
5.17,3.97,1.24,5.85
5.9,3.23,0.7,6.24
5.76,2.25,0.83,3.72
3.33,2.16,1.02,5.43
5.97,3.65,0.77,2.44
5.75,4,0.83,3.48
7.64,3.66,1.61,4.26
6.48,2.88,0.87,5.11
10.42,2.21,1.18,4.16
3.26,2.38,1.42,5.16
4.36,3.04,1.24,6.91
7.78,3.18,0.5,7.94
5.91,2.28,1.22,2.15
4.23,2.78,1.34,3.92
3.22,2.85,0.87,2.26
5.66,3.19,0.99,5.7
6.47,2.44,0.92,2.81
4.39,3,0.58,7.19
9.26,3.05,0.94,3.09
3.57,3.35,1.33,1.34
3.27,2.81,0.75,2.51
3.03,2.29,0.45,5
6.02,2.26,1.6,2.54
6.09,2.94,1.42,2.72
5.44,2.65,0.27,3.49
4.57,2.93,0.19,1.97
1.07,3.12,1.44,2.39
4.17,2.17,0.31,2.99
2.8,3.98,0.65,1.45
-0.56,3.35,1.26,4.43
7.91,3.89,1.38,5.98
10.15,2.79,0.99,4.98
6.75,3.26,1.1,2.77
6.05,2.59,1.17,5.94
7.82,2.97,1.45,2.24
5.36,2.93,1.56,5.51
4.64,3.86,0.72,1.82
3.44,2.43,1,2.02
9.07,3.16,1.13,3.54
4.44,3.86,0.38,1.38
3.54,3.25,0.71,2.36
3.17,3.11,1.16,4.61
6.79,3.01,0.98,5.48
5.24,3.69,0.46,2.19
6.7,3.7,1.36,4.82
3.24,2.29,1.11,0.02
8.19,2.13,0.99,1.47
5.49,2.05,0.9,3.95
4.8,3.61,1.22,5.99
4.73,2.32,0.45,5.57
6.63,2.42,0.47,4.79
4.92,3.48,0.38,3.34
5.59,2.34,1.8,1.87
2.47,2.18,0.9,1.13
5.36,3.3,1.25,3.19
4.23,3.35,1.13,0.84
3.57,3.27,0.33,4.26
9.6,2.66,0.48,5.41
6.49,2.91,1.19,5.15
5.92,3.01,0.91,3.56
3.77,3.38,0.36,2.33
4.84,2.72,1,3.01
5.13,3.66,0.94,6.51
6.04,2.84,0.21,4.39
7.64,3.57,1.05,4.14
8.61,3.82,1.15,6.19
8.54,2.1,0.57,1.99
3.12,2.07,1.17,6.36
7.06,3.17,0.85,2.61
4.24,2.86,0.14,1.14
6.3,2.67,0.8,3.11
2.61,2.67,0.99,3.59
5.49,3.58,1.16,4.47
6.26,3.67,1.23,1.57
5.49,3.95,1.3,5.21
7.25,3.84,0.87,3.85
4.55,2.1,1.12,6.25
5.29,2.3,1.34,3.91
8,2.97,0.34,2.8
3.64,2.73,0.26,7.37
3.13,2.19,1.11,4.1
4.54,2.44,1.38,5.82
3.38,3.36,1.14,1.88
4.53,3.09,0.82,1.93
7.18,2.73,1.38,2.44
7.61,3.74,0.78,5.89
7.35,3.34,1.44,1.95
6.09,3.47,1.09,5.28
4.21,3.15,0.75,2.2
5.49,2.81,0.73,1.33
1.27,2.38,1.75,3.39
5.69,3.77,0.77,2.83
3.6,3.02,1.1,3.96
3.57,2.85,1.34,2.6
4.89,3.39,1.2,2.9
4.88,2.7,1.47,2.71
4.69,3.42,1.08,2.67
6.49,2.18,0.99,1.51
6.63,3.29,1.03,1.05
6.73,3.88,0.93,3.23
7.17,3,0.88,2.89
3.52,2.57,0.34,4.63
4.08,3.88,1.26,3.61
4.32,3.89,1.68,4.28
4.14,3.72,1.5,4.66
3.37,3.1,0.95,5.18
6.48,3.11,0.23,4.61
5.83,3.23,0.08,2.74
4.82,2.48,1.18,4.83
4.99,2.85,0.99,5.33
4.93,2.37,0.7,3.17
4.96,2.42,0.79,4.16
4.77,2.95,1.02,4.69
3.31,2.64,0.93,2.34
5.69,3.36,0.72,1.38
4.38,2.31,1.11,3.98
6.31,3.5,1.05,2.42
8.57,3.58,0.61,4.59
5.73,2.84,0.96,3.19
5.19,3.46,1.54,1.5
8.43,3.14,1.78,4.62
5.31,3.13,0.82,7.11
4.13,2.36,0.77,3.93
1.84,3.62,1.85,6.16
5.79,2.16,1.42,3.89
2.96,2.83,0.96,2.26
6.81,2.63,0.89,2.46
5.66,3.97,0.61,1.7
4.88,3.09,0.44,3.58
6.01,3.09,0.8,3.57
2.18,2.42,0.81,5.32
8.72,2.74,1.02,1.72
0.75,2.24,1.52,3.71
7.31,2.67,1.4,3.89
7.09,2.16,0.54,2.58
5.98,2.28,1.52,4.46
3.86,3.29,1.43,3.93
5.92,3.79,0.68,5.55
5.28,3.31,1.68,4.12
4.46,3.36,1.2,4.15
6.66,3.21,1.48,3.43
6.54,2.93,1.1,2.57
2.5,3.81,1.18,6.11
4.9,3.42,0.08,4.55
3.38,3.09,1.82,2.83
4.83,3.82,0.9,2.15
5.41,2.05,1.64,3.58
6.72,2.56,1.56,2.35
5.39,3.46,1.28,3.47
1.58,3.52,0.51,4.36
6.46,2.4,1.64,1.16
